timestamp,x,z,vtheta,grad,g,u
1964,4.981,5.98,0.005,-1.0,-1.993,-1.993
2965,4.961,5.96,0.01,-1.0,-1.981,-1.976
3966,4.941,5.94,0.015,-1.0,-1.976,-1.966
4966,4.921,5.92,0.02,-1.0,-1.958,-1.943
5967,4.901,5.9,0.025,-1.0,-1.946,-1.926
6967,4.88,5.88,0.03,-1.0,-1.934,-1.909
7968,4.859,5.86,0.035,-1.0,-1.923,-1.893
8968,4.84,5.84,0.04,-1.0,-1.911,-1.876
9969,4.82,5.821,0.045,-1.0,-1.899,-1.859
10970,4.803,5.802,0.05,-1.0,-1.888,-1.843
11970,4.782,5.783,0.055,-1.0,-1.883,-1.833
12971,4.763,5.764,0.06,-1.0,-1.871,-1.816
13971,4.746,5.745,0.065,-1.0,-1.852,-1.792
14972,4.727,5.726,0.07,-1.0,-1.847,-1.782
15973,4.711,5.707,0.075,-1.0,-1.835,-1.765
16973,4.691,5.688,0.08,-1.0,-1.816,-1.741
17974,4.675,5.669,0.085,-1.0,-1.804,-1.724
18974,4.655,5.651,0.09,-1.0,-1.792,-1.707
19975,4.64,5.633,0.095,-1.0,-1.78,-1.69
20975,4.623,5.615,0.1,-1.0,-1.768,-1.673
21976,4.608,5.597,0.105,-1.0,-1.756,-1.656
22976,4.59,5.579,0.11,-1.0,-1.744,-1.639
23977,4.574,5.561,0.115,-1.0,-1.732,-1.622
25394,4.558,5.543,0.12,-1.0,-1.72,-1.605
26395,4.541,5.525,0.125,-1.0,-1.708,-1.588
27396,4.522,5.508,0.13,-1.0,-1.696,-1.571
28396,4.508,5.491,0.135,-1.0,-1.684,-1.554
29397,4.49,5.474,0.14,-1.0,-1.671,-1.536
30397,4.476,5.457,0.145,-1.0,-1.659,-1.519
31398,4.46,5.44,0.15,-1.0,-1.647,-1.502
32398,4.444,5.423,0.155,-1.0,-1.635,-1.485
33399,4.429,5.406,0.16,-1.0,-1.622,-1.467
34400,4.416,5.389,0.165,-1.0,-1.61,-1.45
35400,4.402,5.373,0.17,-1.0,-1.598,-1.433
36401,4.387,5.357,0.175,-1.0,-1.585,-1.415
37401,4.372,5.341,0.18,-1.0,-1.573,-1.398
38402,4.358,5.325,0.185,-1.0,-1.561,-1.381
39402,4.346,5.309,0.19,-1.0,-1.555,-1.37
40403,4.334,5.293,0.195,-1.0,-1.535,-1.345
41403,4.319,5.277,0.2,-1.0,-1.523,-1.328
42404,4.306,5.261,0.205,-1.0,-1.51,-1.31
43405,4.294,5.245,0.21,-1.0,-1.504,-1.299
44405,4.28,5.23,0.215,-1.0,-1.492,-1.282
45406,4.268,5.215,0.22,-1.0,-1.479,-1.264
46406,4.257,5.2,0.225,-1.0,-1.467,-1.247
47407,4.242,5.185,0.23,-1.0,-1.454,-1.229
48407,4.231,5.17,0.235,-1.0,-1.441,-1.211
49408,4.221,5.155,0.24,-1.0,-1.428,-1.193
50409,4.211,5.14,0.245,-1.0,-1.423,-1.183
51409,4.199,5.125,0.25,-1.0,-1.402,-1.157
52410,4.189,5.111,0.255,-1.0,-1.397,-1.147
53410,4.177,5.097,0.26,-1.0,-1.384,-1.129
54411,4.167,5.083,0.265,-1.0,-1.371,-1.111
55411,4.157,5.069,0.27,-1.0,-1.358,-1.093
56412,4.147,5.055,0.275,-1.0,-1.345,-1.075
57412,4.134,5.041,0.28,-1.0,-1.332,-1.057
58413,4.121,5.027,0.285,-1.0,-1.319,-1.039
59413,4.111,5.013,0.29,-1.0,-1.306,-1.021
60414,4.099,5.0,0.295,-1.0,-1.292,-1.002
61415,4.088,4.987,0.3,-1.0,-1.279,-0.984
62415,4.075,4.974,0.305,-1.0,-1.266,-0.966
63416,4.066,4.961,0.31,-1.0,-1.252,-0.947
64416,4.056,4.948,0.315,-1.0,-1.238,-0.928
65417,4.049,4.935,0.32,-1.0,-1.225,-0.91
66417,4.038,4.922,0.325,-1.0,-1.211,-0.891
67418,4.031,4.91,0.33,-1.0,-1.197,-0.872
68418,4.021,4.898,0.335,-1.0,-1.184,-0.854
69419,4.014,4.886,0.34,-1.0,-1.17,-0.835
70420,4.006,4.874,0.345,-1.0,-1.157,-0.817
71420,3.999,4.862,0.35,-1.0,-1.143,-0.798
72421,3.99,4.85,0.355,-1.0,-1.129,-0.779
73421,3.981,4.838,0.36,-1.0,-1.114,-0.759
74422,3.974,4.826,0.365,-1.0,-1.1,-0.74
75422,3.968,4.815,0.37,-1.0,-1.085,-0.72
76423,3.961,4.804,0.375,-1.0,-1.071,-0.701
77423,3.953,4.793,0.38,-1.0,-1.057,-0.682
78424,3.944,4.782,0.385,-1.0,-1.043,-0.663
79425,3.938,4.771,0.39,-1.0,-1.028,-0.643
80425,3.932,4.76,0.395,-1.0,-1.013,-0.623
81426,3.923,4.75,0.4,-1.0,-0.998,-0.603
82426,3.916,4.74,0.405,-1.0,-0.984,-0.584
83427,3.912,4.73,0.41,-1.0,-0.969,-0.564
84427,3.907,4.72,0.415,-1.0,-0.954,-0.544
85428,3.903,4.71,0.42,-1.0,-0.939,-0.524
86429,3.899,4.7,0.425,-1.0,-0.923,-0.503
87429,3.895,4.69,0.43,-1.0,-0.907,-0.482
88430,3.889,4.681,0.435,-1.0,-0.891,-0.461
89430,3.885,4.672,0.44,-1.0,-0.876,-0.441
90431,3.882,4.663,0.445,-1.0,-0.86,-0.42
91431,3.876,4.654,0.45,-1.0,-0.844,-0.399
92432,3.871,4.645,0.455,-1.0,-0.828,-0.378
93432,3.866,4.636,0.46,-1.0,-0.812,-0.357
94433,3.861,4.628,0.465,-1.0,-0.795,-0.335
95434,3.857,4.62,0.47,-1.0,-0.779,-0.314
96434,3.854,4.612,0.475,-1.0,-0.773,-0.303
97435,3.852,4.604,0.48,-1.0,-0.744,-0.269
98435,3.85,4.596,0.485,-1.0,-0.727,-0.247
99436,3.845,4.588,0.49,-1.0,-0.721,-0.236
100436,3.843,4.58,0.495,-1.0,-0.704,-0.214
101713,3.841,4.573,0.5,-1.0,-0.673,-0.178
102714,3.839,4.566,0.505,-1.0,-0.655,-0.155
103714,3.835,4.559,0.51,-1.0,-0.65,-0.145
104715,3.834,4.552,0.515,-1.0,-0.618,-0.108
105715,3.832,4.546,0.52,-1.0,-0.598,-0.083
106716,3.83,4.54,0.525,-1.0,-0.578,-0.058
107717,3.83,4.534,0.53,-1.0,-0.558,-0.033
108717,3.832,4.528,0.535,-1.0,-0.537,-0.007
109718,3.831,4.522,0.54,-1.0,-0.516,0.018
110718,3.83,4.517,0.545,-1.0,-0.494,0.045
111719,3.831,4.512,0.55,-1.0,-0.473,0.071
112720,3.831,4.507,0.555,-1.0,-0.45,0.099
113720,3.834,4.502,0.56,-1.0,-0.426,0.128
114721,3.836,4.497,0.565,-1.0,-0.401,0.158
115722,3.837,4.493,0.57,-1.0,-0.374,0.19
116722,3.838,4.489,0.575,-1.0,-0.346,0.223
117723,3.839,4.485,0.58,-1.0,-0.316,0.258
118723,3.839,4.482,0.585,-1.0,-0.282,0.297
119724,3.843,4.479,0.59,-1.0,-0.248,0.336
120724,3.847,4.476,0.595,-1.0,-0.209,0.38
121725,3.851,4.474,0.6,-1.0,-0.161,0.433
122725,3.857,4.473,0.605,-1.0,-0.094,0.505
123726,3.862,4.473,0.61,-1.0,0.083,0.688
124727,3.867,4.474,0.615,-1.0,0.148,0.758
125727,3.877,4.475,0.62,-1.0,0.189,0.804
126728,3.885,4.477,0.625,-1.0,0.223,0.843
127728,3.895,4.479,0.63,-1.0,0.25,0.875
128729,3.905,4.481,0.635,-1.0,0.246,0.876
129975,3.911,4.483,0.64,-1.0,0.298,0.933
130976,3.92,4.486,0.645,-1.0,0.317,0.957
131976,3.93,4.489,0.65,-1.0,0.334,0.979
132977,3.939,4.492,0.655,-1.0,0.35,1.0
133977,3.951,4.495,0.66,-1.0,0.366,1.021
134978,3.959,4.498,0.665,-1.0,0.38,1.04
135979,3.968,4.501,0.67,-1.0,0.394,1.059
136979,3.976,4.505,0.675,-1.0,0.408,1.078
137980,3.989,4.509,0.68,-1.0,0.42,1.095
138980,4.002,4.513,0.685,-1.0,0.432,1.112
139981,4.015,4.517,0.69,-1.0,0.443,1.128
140981,4.025,4.521,0.695,-1.0,0.453,1.143
141982,4.036,4.525,0.7,-1.0,0.463,1.158
142982,4.05,4.529,0.705,-1.0,0.473,1.173
143983,4.06,4.533,0.71,-1.0,0.482,1.187
144984,4.071,4.537,0.715,-1.0,0.491,1.201
145984,4.085,4.542,0.72,-1.0,0.5,1.215
146985,4.099,4.547,0.725,-1.0,0.508,1.228
147985,4.112,4.552,0.73,-1.0,0.516,1.241
148986,4.122,4.557,0.735,-1.0,0.524,1.254
149986,4.135,4.562,0.74,-1.0,0.531,1.266
150987,4.149,4.567,0.745,-1.0,0.538,1.278
151988,4.16,4.572,0.75,-1.0,0.544,1.289
152988,4.171,4.577,0.755,-1.0,0.551,1.301
153989,4.186,4.582,0.76,-1.0,0.557,1.312
154989,4.197,4.587,0.765,-1.0,0.563,1.323
155990,4.209,4.592,0.77,-1.0,0.57,1.335
156990,4.224,4.597,0.775,-1.0,0.576,1.346
157991,4.239,4.602,0.78,-1.0,0.582,1.357
158991,4.25,4.607,0.785,-1.0,0.588,1.368
159992,4.265,4.612,0.79,-1.0,0.593,1.378
160992,4.278,4.617,0.795,-1.0,0.598,1.388
161993,4.293,4.623,0.8,-1.0,0.603,1.398
162994,4.305,4.629,0.805,-1.0,0.607,1.407
163994,4.318,4.635,0.81,-1.0,0.611,1.416
164995,4.329,4.641,0.815,-1.0,0.615,1.425
165995,4.345,4.647,0.82,-1.0,0.619,1.434
166996,4.36,4.653,0.825,-1.0,0.623,1.443
167996,4.373,4.659,0.83,-1.0,0.627,1.452
168997,4.385,4.665,0.835,-1.0,0.63,1.46
169998,4.398,4.671,0.84,-1.0,0.634,1.469
170998,4.41,4.677,0.845,-1.0,0.629,1.469
171999,4.424,4.683,0.85,-1.0,0.64,1.485
172999,4.439,4.689,0.855,-1.0,0.643,1.493
174000,4.452,4.695,0.86,-1.0,0.646,1.501
175000,4.467,4.701,0.865,-1.0,0.649,1.509
176001,4.484,4.707,0.87,-1.0,0.644,1.509
177002,4.499,4.713,0.875,-1.0,0.655,1.525
178467,4.512,4.719,0.88,-1.0,0.665,1.54
179468,4.529,4.725,0.885,-1.0,0.661,1.541
180468,4.546,4.731,0.89,-1.0,0.663,1.548
181469,4.56,4.737,0.895,-1.0,0.665,1.555
182469,4.575,4.743,0.9,-1.0,0.667,1.562
183470,4.588,4.749,0.905,-1.0,0.67,1.57
184471,4.603,4.755,0.91,-1.0,0.672,1.577
185471,4.617,4.761,0.915,-1.0,0.674,1.584
186472,4.63,4.767,0.92,-1.0,0.676,1.591
187472,4.647,4.773,0.925,-1.0,0.672,1.592
188473,4.665,4.779,0.93,-1.0,0.68,1.605
189473,4.683,4.785,0.935,-1.0,0.681,1.611
190474,4.697,4.791,0.94,-1.0,0.683,1.618
191474,4.713,4.797,0.945,-1.0,0.684,1.624
192475,4.727,4.803,0.95,-1.0,0.686,1.631
193476,4.742,4.809,0.955,-1.0,0.687,1.637
194476,4.759,4.815,0.96,-1.0,0.689,1.644
195477,4.777,4.821,0.965,-1.0,0.69,1.65
196477,4.791,4.827,0.97,-1.0,0.691,1.656
197478,4.807,4.833,0.975,-1.0,0.692,1.662
198478,4.825,4.839,0.98,-1.0,0.692,1.667
199479,4.839,4.845,0.985,-1.0,0.693,1.673
200480,4.857,4.851,0.985,-1.0,0.694,1.679
201480,4.852,4.857,0.985,1.0,0.694,-0.29
202481,4.869,4.863,0.985,-1.0,0.695,1.68
203481,4.866,4.869,0.985,1.0,0.696,-0.288
204482,4.884,4.875,0.985,-1.0,0.692,1.677
205482,4.878,4.881,0.985,1.0,0.692,-0.292
206483,4.896,4.887,0.985,-1.0,0.697,1.682
207484,4.89,4.893,0.985,1.0,0.697,-0.287
208484,4.904,4.899,0.985,-1.0,0.697,1.682
209492,4.902,4.905,0.985,1.0,0.697,-0.287
210493,4.918,4.911,0.985,-1.0,0.697,1.682
211493,4.916,4.917,0.985,1.0,0.697,-0.287
212494,4.935,4.923,0.985,-1.0,0.697,1.682
213495,4.931,4.929,0.99,1.0,0.696,-0.288
214495,4.926,4.935,0.99,1.0,0.692,-0.297
215496,4.945,4.941,0.99,-1.0,0.691,1.681
216496,4.942,4.947,0.99,1.0,0.69,-0.299
217497,4.956,4.953,0.99,-1.0,0.686,1.676
218498,4.953,4.959,0.99,1.0,0.689,-0.3
219498,4.968,4.965,0.99,-1.0,0.688,1.678
220499,4.962,4.971,0.99,1.0,0.687,-0.302
221499,4.979,4.977,0.99,-1.0,0.686,1.676
222500,4.978,4.983,0.99,1.0,0.684,-0.305
223500,4.994,4.989,0.99,-1.0,0.683,1.673
224501,4.989,4.995,0.99,1.0,0.678,-0.311
225745,5.005,5.001,0.99,-1.0,0.68,1.67
226746,5.002,5.007,0.99,1.0,0.678,-0.311
227747,5.018,5.013,0.99,-1.0,0.677,1.667
228747,5.017,5.019,0.99,1.0,0.673,-0.316
229748,5.033,5.025,0.99,-1.0,0.673,1.663
230792,5.027,5.031,0.99,1.0,0.67,-0.319
231792,5.042,5.037,0.99,-1.0,0.668,1.658
232793,5.038,5.043,0.99,1.0,0.664,-0.325
233794,5.052,5.049,0.99,-1.0,0.661,1.651
234794,5.046,5.055,0.99,1.0,0.661,-0.328
235795,5.061,5.061,0.99,-1.0,0.656,1.646
236795,5.065,5.067,0.99,0.0,0.654,0.654
237796,5.08,5.073,0.99,-1.0,0.65,1.64
238796,5.076,5.079,0.99,1.0,0.647,-0.342
239797,5.091,5.085,0.99,-1.0,0.644,1.634
240798,5.089,5.091,0.99,1.0,0.64,-0.349
241798,5.104,5.097,0.99,-1.0,0.637,1.627
242799,5.098,5.103,0.99,1.0,0.632,-0.357
243799,5.114,5.109,0.99,-1.0,0.628,1.618
244800,5.109,5.115,0.99,1.0,0.623,-0.366
245800,5.126,5.121,0.99,-1.0,0.617,1.607
246801,5.119,5.127,0.99,1.0,0.61,-0.379
247802,5.134,5.133,0.99,-1.0,0.605,1.595
248802,5.129,5.138,0.99,1.0,0.597,-0.392
249803,5.145,5.143,0.99,-1.0,0.591,1.581
250803,5.139,5.148,0.99,1.0,0.587,-0.402
251804,5.154,5.153,0.99,-1.0,0.581,1.571
252804,5.149,5.158,0.99,1.0,0.573,-0.416
253805,5.163,5.163,0.99,-1.0,0.566,1.556
255850,5.171,5.168,0.99,0.0,0.556,0.556
256851,5.166,5.173,0.99,1.0,0.552,-0.437
257851,5.179,5.178,0.99,-1.0,0.544,1.534
258852,5.174,5.183,0.99,1.0,0.534,-0.455
259852,5.189,5.188,0.99,-1.0,0.527,1.517
260853,5.181,5.193,0.99,1.0,0.519,-0.47
261853,5.194,5.198,0.995,-1.0,0.511,1.501
262854,5.211,5.203,0.995,-1.0,0.503,1.498
263855,5.205,5.207,0.995,1.0,0.498,-0.496
265168,5.219,5.211,0.995,-1.0,0.488,1.483
266168,5.214,5.215,0.995,1.0,0.481,-0.513
267169,5.23,5.219,0.995,-1.0,0.474,1.469
268169,5.224,5.223,1.0,1.0,0.466,-0.528
269170,5.217,5.227,1.0,1.0,0.462,-0.537
270171,5.231,5.231,1.0,-1.0,0.451,1.451
271171,5.235,5.235,1.0,0.0,0.443,0.443
272172,5.24,5.239,1.0,0.0,0.435,0.435
273172,5.233,5.243,1.0,1.0,0.427,-0.572
274173,5.245,5.247,1.0,-1.0,0.419,1.419
275174,5.259,5.251,1.0,-1.0,0.411,1.411
276174,5.253,5.255,1.0,1.0,0.402,-0.597
277175,5.267,5.258,1.0,-1.0,0.393,1.393
278175,5.261,5.261,1.0,1.0,0.386,-0.613
279176,5.265,5.264,1.0,0.0,0.382,0.382
280176,5.261,5.267,1.0,1.0,0.374,-0.625
281177,5.272,5.27,1.0,-1.0,0.366,1.366
282177,5.265,5.273,1.0,1.0,0.357,-0.642
283178,5.276,5.276,1.0,-1.0,0.349,1.349
284179,5.278,5.279,1.0,0.0,0.34,0.34
285179,5.29,5.282,1.0,-1.0,0.331,1.331
286180,5.281,5.285,1.0,1.0,0.322,-0.677
287180,5.292,5.288,1.0,-1.0,0.313,1.313
288181,5.287,5.291,1.0,1.0,0.303,-0.696
289181,5.299,5.293,1.0,-1.0,0.293,1.293
290182,5.293,5.295,1.0,1.0,0.284,-0.715
291182,5.306,5.297,1.0,-1.0,0.275,1.275
292183,5.298,5.299,1.0,1.0,0.266,-0.733
293184,5.312,5.301,1.0,-1.0,0.256,1.256
294184,5.305,5.303,1.005,1.0,0.246,-0.753
295185,5.299,5.305,1.005,1.0,0.236,-0.768
296185,5.309,5.307,1.005,-1.0,0.225,1.23
297186,5.3,5.309,1.005,1.0,0.214,-0.79
298186,5.31,5.311,1.005,-1.0,0.202,1.207
299187,5.321,5.312,1.005,-1.0,0.189,1.194
300379,5.31,5.313,1.005,1.0,0.178,-0.826
301380,5.322,5.314,1.005,-1.0,0.176,1.181
302380,5.314,5.315,1.005,1.0,0.158,-0.846
303381,5.324,5.316,1.005,-1.0,0.148,1.153
304382,5.313,5.317,1.005,1.0,0.137,-0.867
305382,5.325,5.318,1.005,-1.0,0.126,1.131
306489,5.317,5.319,1.005,1.0,0.114,-0.89
307490,5.326,5.32,1.005,-1.0,0.1,1.105
308490,5.318,5.32,1.005,1.0,0.083,-0.921
309491,5.327,5.32,1.005,-1.0,0.07,1.075
310492,5.316,5.32,1.005,1.0,0.054,-0.95
311538,5.326,5.32,1.005,-1.0,0.031,1.036
312538,5.316,5.319,1.005,1.0,-0.031,-1.036
313539,5.326,5.318,1.005,-1.0,-0.031,0.973
314539,5.313,5.317,1.005,1.0,-0.031,-1.036
315540,5.322,5.316,1.005,-1.0,-0.031,0.973
316541,5.312,5.315,1.005,1.0,-0.031,-1.036
317541,5.322,5.314,1.005,-1.0,-0.031,0.973
318542,5.312,5.313,1.005,1.0,-0.031,-1.036
319542,5.323,5.312,1.005,-1.0,-0.031,0.973
320651,5.314,5.311,1.01,1.0,-0.031,-1.036
321652,5.304,5.311,1.01,1.0,0.0,-1.01
322653,5.314,5.311,1.01,-1.0,0.0,1.01
323653,5.304,5.311,1.01,1.0,0.0,-1.01
324654,5.312,5.311,1.01,-1.0,0.0,1.01
325936,5.302,5.311,1.01,1.0,0.0,-1.01
326936,5.31,5.311,1.01,-1.0,0.0,1.01
327937,5.319,5.311,1.01,-1.0,0.0,1.01
328937,5.309,5.311,1.01,1.0,0.0,-1.01
329938,5.32,5.311,1.01,-1.0,0.0,1.01
330938,5.307,5.311,1.01,1.0,0.0,-1.01
331939,5.315,5.311,1.01,-1.0,0.0,1.01
332940,5.306,5.311,1.01,1.0,0.0,-1.01
333940,5.314,5.311,1.01,-1.0,0.0,1.01
334941,5.302,5.311,1.01,1.0,0.0,-1.01
335941,5.313,5.311,1.01,-1.0,0.0,1.01
336942,5.305,5.311,1.01,1.0,0.0,-1.01
337942,5.313,5.311,1.01,-1.0,0.0,1.01
338943,5.305,5.311,1.01,1.0,0.0,-1.01
339943,5.312,5.311,1.01,-1.0,0.0,1.01
340944,5.3,5.311,1.01,1.0,0.0,-1.01
341944,5.31,5.311,1.015,-1.0,0.0,1.01
342945,5.319,5.311,1.015,-1.0,0.0,1.015
343946,5.308,5.311,1.015,1.0,0.0,-1.015
344946,5.318,5.311,1.015,-1.0,0.0,1.015
345947,5.308,5.311,1.015,1.0,0.0,-1.015
346947,5.319,5.311,1.015,-1.0,0.0,1.015
347948,5.307,5.311,1.015,1.0,0.0,-1.015
348948,5.317,5.311,1.015,-1.0,0.0,1.015
349949,5.305,5.311,1.015,1.0,0.0,-1.015
350950,5.313,5.311,1.015,-1.0,0.0,1.015
351950,5.304,5.311,1.015,1.0,0.0,-1.015
352951,5.312,5.311,1.015,-1.0,0.0,1.015
353951,5.304,5.311,1.015,1.0,0.0,-1.015
354952,5.314,5.311,1.015,-1.0,0.0,1.015
355952,5.305,5.311,1.015,1.0,0.0,-1.015
356953,5.314,5.311,1.015,-1.0,0.0,1.015
357953,5.305,5.311,1.015,1.0,0.0,-1.015
358954,5.315,5.311,1.015,-1.0,0.0,1.015
359955,5.304,5.311,1.015,1.0,0.0,-1.015
360955,5.315,5.311,1.015,-1.0,0.0,1.015
361956,5.303,5.311,1.015,1.0,0.0,-1.015
362956,5.311,5.311,1.015,-1.0,0.0,1.015
363957,5.309,5.311,1.015,0.0,0.0,0.0
364958,5.318,5.311,1.015,-1.0,0.0,1.015
365958,5.305,5.311,1.015,1.0,0.0,-1.015
366959,5.315,5.311,1.015,-1.0,0.0,1.015
367959,5.305,5.311,1.015,1.0,0.0,-1.015
368960,5.317,5.311,1.015,-1.0,0.0,1.015
369960,5.304,5.311,1.015,1.0,0.0,-1.015
370961,5.312,5.311,1.015,-1.0,0.0,1.015
371961,5.304,5.311,1.015,1.0,0.0,-1.015
372962,5.314,5.311,1.015,-1.0,0.0,1.015
373963,5.304,5.311,1.015,1.0,0.0,-1.015
374963,5.315,5.311,1.015,-1.0,0.0,1.015
375964,5.302,5.311,1.015,1.0,0.0,-1.015
376964,5.313,5.311,1.015,-1.0,0.0,1.015
377965,5.301,5.311,1.015,1.0,0.0,-1.015
378965,5.311,5.311,1.02,-1.0,0.0,1.015
379966,5.308,5.311,1.02,0.0,0.0,0.0
380967,5.316,5.311,1.02,-1.0,0.0,1.02
381967,5.305,5.311,1.02,1.0,0.0,-1.02
382968,5.316,5.311,1.02,-1.0,0.0,1.02
383968,5.304,5.311,1.02,1.0,0.0,-1.02
384969,5.314,5.311,1.02,-1.0,0.0,1.02
385969,5.304,5.311,1.02,1.0,0.0,-1.02
386970,5.315,5.311,1.02,-1.0,0.0,1.02
387971,5.306,5.311,1.02,1.0,0.0,-1.02
388971,5.315,5.311,1.02,-1.0,0.0,1.02
389972,5.303,5.311,1.02,1.0,0.0,-1.02
390972,5.311,5.311,1.02,-1.0,0.0,1.02
391973,5.312,5.311,1.02,0.0,0.0,0.0
392973,5.3,5.311,1.02,1.0,0.0,-1.02
394344,5.311,5.311,1.025,-1.0,0.0,1.02
